DATE,CPIAUCSL
2017-01-01,243.620
2017-02-01,243.872
2017-03-01,243.766
2017-04-01,244.274
2017-05-01,244.069
2017-06-01,244.218
2017-07-01,244.280
2017-08-01,245.205
2017-09-01,246.551
2017-10-01,246.657
2017-11-01,247.378
2017-12-01,247.736
2018-01-01,248.721
2018-02-01,249.300
2018-03-01,249.517
2018-04-01,250.275
2018-05-01,250.786
2018-06-01,251.152
2018-07-01,251.345
2018-08-01,251.735
2018-09-01,252.183
2018-10-01,252.899
2018-11-01,252.822
2018-12-01,252.493
2019-01-01,252.441
2019-02-01,252.969
2019-03-01,254.147
2019-04-01,255.326
2019-05-01,255.371
2019-06-01,255.423
2019-07-01,255.925
2019-08-01,256.118
2019-09-01,256.532
2019-10-01,257.387
2019-11-01,257.989
2019-12-01,258.203
2020-01-01,258.687
2020-02-01,258.824
2020-03-01,257.989
2020-04-01,256.192
2020-05-01,255.942
2020-06-01,257.282
2020-07-01,258.604
2020-08-01,259.511
2020-09-01,260.149
2020-10-01,260.462
2020-11-01,260.927
2020-12-01,261.560
2021-01-01,262.231
2021-02-01,263.161
2021-03-01,264.793
2021-04-01,266.832
